index,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,animal_Type,Sex_upon_Outcome,Age_upon_Outcome,Breed,Color,Medicine
41,,9/28/2016 13:49,9/28/2016 13:49,9/6/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,Lidocaine
42,*Sandi,10/7/2017 13:15,10/7/2017 13:15,7/28/2017,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White,Adrenaline
43,,7/4/2017 16:16,7/4/2017 16:16,6/15/2017,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/Black,anaesthetic
44,,6/12/2018 13:27,6/12/2018 13:27,6/9/2015,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Black/White,midazolam
45,,4/22/2015 8:39,4/22/2015 8:39,10/21/2014,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat,Brown,inflammatory
46,*Bun Jovi,12/20/2017 17:22,12/20/2017 17:22,11/27/2016,Adoption,,Other,Neutered Male,1 year,Californian,White,Opioids
47,Stella Luna,3/28/2014 14:55,3/28/2014 14:55,3/27/2013,Return to Owner,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Black/White,Crystalloid
48,*Arnie,11/13/2018 17:08,11/13/2018 17:08,11/9/2015,Transfer,Partner,Dog,Neutered Male,3 years,Norfolk Terrier Mix,Tan,Potassium chloride
49,*James,1/22/2018 7:55,1/22/2018 7:55,8/5/2017,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Blue Tabby,gluconate
50,*Valentino,2/16/2016 0:00,2/16/2016 0:00,2/10/2014,Transfer,Partner,Dog,Neutered Male,2 years,Pug/Border Terrier,Black/Tan,mannitol
51,Lucy,8/14/2014 18:45,8/14/2014 18:45,6/16/2014,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,Dextrose
52,Fancy,3/28/2014 14:39,3/28/2014 14:39,2/28/2012,Transfer,Partner,Dog,Neutered Male,2 years,Papillon/Border Collie,Black/White,Heparin
53,*Frida,6/29/2014 17:45,6/29/2014 17:45,3/26/2014,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Black,Vitamin K2
54,,7/11/2017 17:20,7/11/2017 17:20,7/7/2016,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,isoflurane
55,*Ozzy,11/24/2015 11:58,11/24/2015 11:58,5/28/2015,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Blue Tabby/White,alfaxalone
56,Luna,4/22/2017 18:23,4/22/2017 18:23,4/22/2016,Return to Owner,,Dog,Intact Female,1 year,Siberian Husky Mix,Black/White,propofol
57,Lucy,1/19/2015 12:08,1/19/2015 12:08,1/19/2004,Return to Owner,,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie,hydroxyzine
58,,6/28/2017 14:32,6/28/2017 14:32,6/21/2017,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Blue,Colloid
59,Nala,4/14/2015 11:27,4/14/2015 11:27,4/14/2010,Return to Owner,,Dog,Spayed Female,5 years,Cocker Spaniel Mix,Black/White,emulsions
60,,5/28/2017 15:57,5/28/2017 15:57,3/23/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,Amoxicillin
61,Finnegan,5/27/2017 16:30,5/27/2017 16:30,3/17/2017,Adoption,,Cat,Intact Male,2 months,Siamese Mix,Flame Point,Clindamycin
62,,7/14/2018 14:27,7/14/2018 14:27,4/25/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Gray Tabby/White,Amoxicillin
63,Novah,3/2/2017 13:06,3/2/2017 13:06,7/26/2013,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,White,Ampicillin
64,,11/11/2015 14:04,11/11/2015 14:04,7/30/2015,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,Cefazolin
65,Preciosa,4/4/2017 17:07,4/4/2017 17:07,6/25/2016,Return to Owner,,Dog,Spayed Female,9 months,Chihuahua Shorthair Mix,Black/Tan,sulfonamide
66,Spike,3/20/2015 18:11,3/20/2015 18:11,3/12/2013,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White,Doxycycline
67,,6/23/2015 10:03,6/23/2015 10:03,5/22/2015,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Red,Erythromycin
68,Kash,5/26/2014 19:10,5/26/2014 19:10,3/7/2014,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair/Pomeranian,Black,Metronidazole
69,Pepper,9/18/2018 14:28,9/18/2018 14:28,10/15/2017,Transfer,Partner,Dog,Spayed Female,11 months,Soft Coated Wheaten Terrier Mix,Black/Tricolor,Enrofloxacin
70,Pepper,9/18/2018 14:28,9/18/2018 14:28,10/15/2017,Transfer,Partner,Dog,Spayed Female,11 months,Soft Coated Wheaten Terrier Mix,Black/Tricolor,Florfenicol
71,,12/22/2016 15:32,12/22/2016 15:32,12/18/2014,Transfer,Partner,Dog,Neutered Male,2 years,Norfolk Terrier Mix,Tan/Black,Oxygen
72,Sandy,4/25/2014 11:17,4/25/2014 11:17,4/27/2009,Return to Owner,,Dog,Spayed Female,4 years,Miniature Schnauzer/Miniature Poodle,White,xylazine
73,Cheyenne,11/7/2015 14:20,11/7/2015 14:20,10/11/2006,Adoption,,Dog,Spayed Female,9 years,Dachshund Wirehair/Miniature Poodle,Blue/Tan,medetomidine
74,*Jorge Mcfly,11/22/2015 18:08,11/22/2015 18:08,10/17/2014,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,yohimbine
75,*Truman,6/15/2014 15:11,6/15/2014 15:11,6/2/2012,Transfer,Partner,Dog,Neutered Male,2 years,Rat Terrier Mix,White/Black,tolazoline
76,*Martie,10/22/2015 18:24,10/22/2015 18:24,10/17/2013,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor,Anticholinergic
77,*Newt,4/16/2014 12:51,4/16/2014 12:51,3/11/2013,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White,Lidocaine
78,,1/9/2014 19:29,1/9/2014 19:29,12/16/2013,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White,Adrenaline
79,*Sassy,1/8/2017 18:44,1/8/2017 18:44,12/28/2013,Adoption,,Dog,Spayed Female,3 years,Cairn Terrier Mix,White/Brown,anaesthetic
80,Shy,10/26/2014 18:20,10/26/2014 18:20,10/18/2006,Return to Owner,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Black,midazolam
81,*Patrick,3/12/2017 19:27,3/12/2017 19:27,3/7/2007,Transfer,Partner,Dog,Neutered Male,10 years,Pomeranian Mix,Brown/Black,inflammatory
82,*Gretchen,4/18/2017 15:26,4/18/2017 15:26,10/20/2015,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie,Opioids
83,*Theo,4/20/2018 16:07,4/20/2018 16:07,4/11/2011,Adoption,,Dog,Neutered Male,7 years,Swedish Vallhund Mix,Tan/Black,Crystalloid
84,,6/8/2015 18:20,6/8/2015 18:20,5/8/2015,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby,Potassium chloride
85,Luna,9/26/2016 18:34,9/26/2016 18:34,9/25/2013,Return to Owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown/White,gluconate
86,Georgo,8/27/2016 18:32,8/27/2016 18:32,2/25/2012,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate/Tan,mannitol
87,,11/24/2017 9:23,11/24/2017 9:23,11/23/2016,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black,Dextrose
88,Bessie,2/3/2015 12:59,2/3/2015 12:59,7/6/2013,Adoption,Foster,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,White/Brown,Heparin
89,*Fern,6/15/2018 11:37,6/15/2018 11:37,3/31/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White,Vitamin K3
90,*Merlin,8/17/2017 15:51,8/17/2017 15:51,4/27/2015,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,isoflurane
91,,3/22/2016 15:58,3/22/2016 15:58,3/1/2016,Transfer,Partner,Dog,Intact Male,3 weeks,Labrador Retriever/Pit Bull,Black/White,alfaxalone
92,Chucho,5/10/2017 17:03,5/10/2017 17:03,3/28/2005,Return to Owner,,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,Tan/White,propofol
93,,4/11/2017 18:59,4/11/2017 18:59,3/11/2017,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown/Black,hydroxyzine
94,,10/5/2018 18:00,10/5/2018 18:00,4/2/2018,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White,Colloid
95,*Davis,5/7/2015 9:00,5/7/2015 9:00,9/6/2014,Transfer,SCRP,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby,emulsions
96,Smooches,1/20/2017 18:01,1/20/2017 18:01,1/15/2016,Return to Owner,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,Amoxicillin
97,,12/26/2016 14:43,12/26/2016 14:43,4/21/2016,Adoption,,Dog,Intact Male,8 months,German Shepherd/Great Pyrenees,Tan/White,Clindamycin
98,,3/6/2014 14:29,3/6/2014 14:29,7/5/2013,Transfer,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Brown Tabby/White,Amoxicillin
99,Shadow,5/4/2016 16:45,5/4/2016 16:45,4/18/2015,Adoption,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black,Ampicillin
100,Elsa,8/13/2014 15:04,8/13/2014 15:04,6/2/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,Cefazolin
101,River,7/24/2018 17:08,7/24/2018 17:08,5/9/2018,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Tan/White,sulfonamide
102,*Pippi,11/11/2016 16:58,11/11/2016 16:58,11/1/2013,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown/White,Doxycycline
103,Max,4/30/2016 17:23,4/30/2016 17:23,4/18/2012,Adoption,,Dog,Neutered Male,4 years,German Shepherd Mix,Sable,Erythromycin
104,*Bailey,6/19/2016 16:25,6/19/2016 16:25,1/31/2016,Adoption,,Dog,Spayed Female,4 months,Pit Bull/Labrador Retriever,White/Brown,Metronidazole
105,Shadow,6/4/2015 11:17,6/4/2015 11:17,3/24/2012,Return to Owner,,Dog,Intact Female,3 years,German Shepherd,Black,Enrofloxacin
106,Sargento,8/11/2015 14:11,8/11/2015 14:11,6/26/2008,Return to Owner,,Dog,Neutered Male,7 years,Rhod Ridgeback Mix,Red/White,Florfenicol
107,*Preston,12/16/2013 13:59,12/16/2013 13:59,12/4/2012,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black/White,Oxygen
108,,10/17/2017 11:56,10/17/2017 11:56,6/13/2017,Adoption,,Dog,Spayed Female,4 months,Catahoula Mix,Brown Brindle/White,xylazine
109,Chester,8/31/2014 15:45,8/31/2014 15:45,3/22/2014,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black Tabby,medetomidine
110,Dolly,12/11/2014 17:52,12/11/2014 17:52,5/5/2012,Adoption,,Dog,Spayed Female,2 years,Beagle Mix,Tan/White,yohimbine
111,*Oliver,10/31/2014 18:29,10/31/2014 18:29,8/3/2014,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,tolazoline
112,Mia,10/9/2018 13:14,10/9/2018 13:14,9/29/2007,Return to Owner,,Cat,Spayed Female,11 years,Siamese Mix,Tortie Point,Anticholinergic
113,,2/24/2017 18:13,2/24/2017 18:13,12/30/2016,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Schnauzer Mix,Black/White,Lidocaine
114,*Ryker,10/15/2017 11:28,10/15/2017 11:28,6/8/2015,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,Adrenaline
115,Rosco,10/29/2016 13:06,10/29/2016 13:06,2/16/2010,Return to Owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Red/White,anaesthetic
116,*Rosie,3/25/2018 16:24,3/25/2018 16:24,3/15/2016,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue,midazolam
117,*Fern,7/17/2018 8:39,7/17/2018 8:39,4/8/2018,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Calico,inflammatory
118,*Ivy,5/23/2015 15:46,5/23/2015 15:46,9/11/2014,Adoption,,Dog,Spayed Female,8 months,Blue Lacy/Australian Kelpie,Blue,Opioids
119,Olive,10/19/2014 17:54,10/19/2014 17:54,10/11/2013,Adoption,,Dog,Spayed Female,1 year,Mastiff Mix,Brown Brindle,Crystalloid
120,,11/8/2015 17:48,11/8/2015 17:48,10/1/2015,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,Potassium chloride
121,,3/7/2017 13:30,3/7/2017 13:30,2/26/2017,Euthanasia,,Other,Unknown,1 weeks,Opossum Mix,Pink,gluconate
122,,7/30/2016 18:09,7/30/2016 18:09,5/9/2016,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,mannitol
123,*Molly,2/15/2015 16:57,2/15/2015 16:57,2/11/2013,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Chihuahua Shorthair,White,Dextrose
124,,12/25/2013 9:47,12/25/2013 9:47,8/23/2013,Transfer,Partner,Dog,Intact Female,4 months,Plott Hound Mix,Brown Brindle/Black,Heparin
125,,10/20/2015 17:13,10/20/2015 17:13,10/13/2015,Transfer,Partner,Cat,Unknown,1 week,Siamese Mix,Lilac Point,Vitamin K4
126,Promise,11/19/2013 18:30,11/19/2013 18:30,9/1/2013,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Yellow,isoflurane
127,*Montgomery,1/19/2015 15:38,1/19/2015 15:38,11/17/2013,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,alfaxalone
128,*Lucy,12/18/2016 17:25,12/18/2016 17:25,7/10/2015,Adoption,,Dog,Spayed Female,1 year,Maltese Mix,White,propofol
129,,8/21/2016 16:42,8/21/2016 16:42,8/21/2013,Euthanasia,Rabies Risk,Other,Unknown,3 years,Bat Mix,Brown/Black,hydroxyzine
130,*Cinnamon,12/2/2016 13:57,12/2/2016 13:57,8/13/2016,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Colloid
131,,5/27/2015 8:21,5/27/2015 8:21,4/24/2015,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White,emulsions
132,*Ollie,2/11/2015 17:16,2/11/2015 17:16,1/31/2013,Transfer,Partner,Dog,Intact Male,2 years,Australian Cattle Dog/Labrador Retriever,Black,Amoxicillin
133,*Meryl,8/14/2018 13:12,8/14/2018 13:12,1/2/2018,Transfer,Partner,Dog,Intact Female,7 months,Pit Bull Mix,Brown Brindle/White,Clindamycin
134,,1/23/2017 11:06,1/23/2017 11:06,1/18/2015,Transfer,Partner,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black,Amoxicillin
135,,3/8/2017 16:54,3/8/2017 16:54,3/8/2016,Euthanasia,Suffering,Other,Unknown,1 year,Squirrel,Brown,Ampicillin
136,Minnie,11/4/2014 18:03,11/4/2014 18:03,6/17/2014,Transfer,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Blue/Tan,Cefazolin
137,,8/25/2017 8:36,8/25/2017 8:36,8/1/2017,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,sulfonamide
138,,10/29/2018 16:58,10/29/2018 16:58,6/29/2018,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White,Doxycycline
139,,2/27/2016 19:16,2/27/2016 19:16,2/23/2014,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,Erythromycin
140,*Bumble,7/3/2014 12:12,7/3/2014 12:12,4/27/2014,Transfer,Partner,Cat,Intact Female,2 months,Siamese,Seal Point,Metronidazole
141,*Lily,8/22/2018 18:28,8/22/2018 18:28,2/16/2017,Adoption,,Dog,Spayed Female,1 year,Border Collie/Labrador Retriever,Black/White,Enrofloxacin
142,Luke,1/9/2015 12:10,1/9/2015 12:10,1/30/2008,Euthanasia,Aggressive,Dog,Neutered Male,6 years,Labrador Retriever/Beagle,Tan/Black,Florfenicol
143,,6/11/2014 17:11,6/11/2014 17:11,5/27/2014,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,Oxygen
144,*Vinnie,5/5/2015 12:23,5/5/2015 12:23,1/27/2013,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,xylazine
145,Ripley,7/3/2018 16:54,7/3/2018 16:54,12/27/2016,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White,medetomidine
146,,1/3/2014 17:47,1/3/2014 17:47,9/30/2013,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Tan/White,yohimbine
147,,9/14/2015 17:16,9/14/2015 17:16,8/23/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White,tolazoline
148,*Jasmine,8/17/2016 0:00,8/17/2016 0:00,7/9/2015,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,Anticholinergic
149,,7/3/2014 17:01,7/3/2014 17:01,4/14/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,Lidocaine
150,Fafali,5/2/2018 19:23,5/2/2018 19:23,9/6/2014,Rto-Adopt,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Tortie,Adrenaline
151,Lobo,6/23/2016 16:30,6/23/2016 16:30,5/16/2013,Adoption,,Dog,Neutered Male,3 years,Australian Shepherd Mix,Black/Tricolor,anaesthetic
152,*Jaqueline,9/19/2015 14:33,9/19/2015 14:33,9/13/2012,Adoption,,Dog,Spayed Female,3 years,Staffordshire Mix,Red,midazolam
153,,6/8/2015 15:40,6/8/2015 15:40,5/8/2015,Euthanasia,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Gray Tabby,inflammatory
154,Canela,9/24/2018 11:32,9/24/2018 11:32,4/14/2017,Return to Owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair,White/Tan,Opioids
155,*Marvin,9/10/2015 17:24,9/10/2015 17:24,8/20/2013,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,Crystalloid
156,*Sheldon,2/26/2018 17:48,2/26/2018 17:48,12/7/2017,Adoption,,Dog,Neutered Male,2 months,Cardigan Welsh Corgi Mix,Tricolor,Potassium chloride
157,,8/24/2018 16:07,8/24/2018 16:07,1/18/2018,Adoption,,Dog,Spayed Female,7 months,Pit Bull Mix,Black/White,gluconate
158,,7/19/2014 17:36,7/19/2014 17:36,4/15/2014,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,mannitol
159,*Kane,5/4/2018 7:20,5/4/2018 7:20,3/3/2018,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Pit Bull,Black/White,Dextrose
160,Kitten,2/10/2017 12:51,2/10/2017 12:51,9/26/2016,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,Heparin
161,*Harlem,12/26/2015 18:45,12/26/2015 18:45,12/22/2013,Return to Owner,,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby,Vitamin K5
162,,2/27/2016 19:03,2/27/2016 19:03,9/25/2015,Adoption,,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Cream Tabby,isoflurane
163,,8/27/2015 17:24,8/27/2015 17:24,7/27/2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue,alfaxalone
164,Willow,1/11/2015 14:21,1/11/2015 14:21,1/9/2013,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Longhair Mix,Black,propofol
165,Liam,9/16/2018 15:57,9/16/2018 15:57,1/11/2013,Adoption,,Cat,Neutered Male,5 years,Domestic Longhair Mix,Blue/White,hydroxyzine
